id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Crown Heights,Static King,hip-hop,confident,0.79,95,0.72,0.85,0.12
12,Velvet Hours,Sable Jones,r&b,romantic,0.54,86,0.76,0.71,0.34
13,Autumn Sonata,Clara Voss,classical,melancholic,0.22,58,0.30,0.25,0.97
14,Iron Curtain,Fracture Line,metal,aggressive,0.96,168,0.22,0.55,0.04
15,Island Drift,Cane & Coral,reggae,dreamy,0.48,82,0.74,0.76,0.58
16,Porch Light,Hollow Birch,folk,sad,0.31,68,0.28,0.38,0.94
17,Strobe Garden,Ultrawave,edm,euphoric,0.88,128,0.80,0.92,0.03
18,Smoke & Strings,Delta Gray,blues,nostalgic,0.45,75,0.40,0.52,0.76
19,Sunday Morning Soul,The Velours,soul,tender,0.46,88,0.66,0.63,0.61
